"X","pop","equar","first_date","equar_date","lambdaValues","tau","beta","c","omega","theta","r","deltaA","epsT","deltaS","E0","IA0","IS0","startProjection_date","FittedTo","Convergence","fitness","distance","Geographical.Level","Geographical.Place","C0","mu","popMultiplier","area"
3112,80906,"20;50;81;112;142;173;203;234;265;293;324;354;385;415;446","2020-05-12","2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.751595117607736;0.95;0.549889091401225;0.71209035484329;0.465088317479468;0.504740932433085;0.89092680377452;0.942639673254155;0;0;0.520938970251004;0.350267177697045;0.45342057573643;0.397470992357907;0.397470992357907",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Cumulative",0,0.997507621774064,2.64337764903977,"muncity","Labo",1,4.05479e-05,0.75,51606000
288,40692,"10;41;71;102;132;163;194;222;253;283;314;344;375","2020-07-22","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.949979193863487;0.7920564239903;0.419243042331533;0.587279248806771;0.648663242380002;0.918447835298586;0.946131264528936;0;0;0.180452882537795;0.487971863906552;0.439157776076917;0.439157776076917",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Cumulative",0,0.982938665396367,2.15666486248482,"muncity","Mercedes",1,4.05479e-05,0.75,51607000
1131,47344,"18;48;79;109;140;171;199;230;260;291;321;352","2020-08-14","2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.947573838444848;0.949284638184168;0.949293081911217;0.948309112287456;0.946896434572808;0.947530889867465;0.949380532026935;0.469272865094354;0.370394384674455;0.349517603859476;0.696027305701136;0.696027305701136",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",6.61223466400207,3.92838961933108,6.55859170225137,"2021-06-01","Cumulative",0,0.998342238998805,24.7617288568034,"muncity","Paracale",1,4.05479e-05,0.75,51608000
289,8321,"3;34;65;95;126;156;187;218;246;277;307;338;368;399","2020-06-28","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.949947956695894;0.949892902877878;0.949925583232171;0.949946309503852;0.949916716656234;0.949983104594169;0.949795664042503;0.949956944895263;0.94041860881077;0.606065372277931;0.14801139649278;0.476732831362847;0.910885930408381;0.910885930408381",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",4.44562057017635,4.2287471708996,4.44636284609642,"2021-06-01","Cumulative",0,0.964754230533395,13.6154057292239,"muncity","San vicente",1,4.05479e-05,0.75,51609000
290,32647,"26;57;87;118;148;179;210;238;269;299;330;360;391","2020-07-06","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.948669642121137;0.949586113595887;0.949500217939213;0.947343539314088;0.946601041357799;0.947587920850027;0.946904735456389;0.949083348293951;0.102869885101722;0.319134143810766;0.834710285313031;0.10567013708378;0.10567013708378",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",6.30262475503669,4.1414099250032,3.85460391986657,"2021-06-01","Cumulative",0,0.938552273144351,15.8696749641941,"muncity","Santa elena",1,4.05479e-05,0.75,51610000
1132,20684,"19;50;80;111;141;172;203;231;262;292;323;353;384","2020-07-13","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.842650537612553;0.678454646236213;0.892126233094819;0.945010149395329;0.949764183567497;0.949991675577476;0.949999709655868;0;0.00133967283848113;0;0;0.792218871971897;0.792218871971897",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Cumulative",0,0.937526563854946,24.5586465546812,"muncity","Talisay",1,4.05479e-05,0.75,51611000
1133,34807,"1;32;62;93;123;154;185;213;244;274;305;335;366","2020-07-31","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.000436068376167168;0.949469004129858;0.949144088102415;0.948593680567277;0.947755082049283;0.948014459982381;0.949390589823976;0.948836276979359;0.274726412997757;0.700178889013091;0.075396154557302;0.865320831530926;0.865320831530926",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",5.18145845203328,4.62185908279885,3.91682759136461,"2021-06-01","Cumulative",0,0.946399058089273,15.9902863102795,"muncity","Vinzons",1,4.05479e-05,0.75,51612000
291,46553,"27;58;88;119;149;180;211;239;270;300;331;361;392","2020-07-05","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.506418757947304;0.655186743232956;0.752691376482901;0.806185505073438;0.309114003638454;0.774127215048518;0.470829721865793;0.764879813719785;0;0.449998608357919;0.56697666122915;0.291832799290539;0.291832799290539",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Cumulative",0,0.998861969211566,1.62939628883549,"muncity","Baao",1,4.05479e-05,0.75,51701000
292,24463,"2;33;64;94;125;155;186;217;245;276;306;337;367;398","2020-06-29","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.949659437679988;0.68720007456468;0.785180445196128;0.925607027226879;0.947719873274482;0.947895906831464;0.946975228194986;0.945977726372262;0.733154140018519;0.520726850544133;0.54992596921511;0.512170609247596;0.636302277632694;0.636302277632694",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Cumulative",0,0.978336097255142,19.2131675095069,"muncity","Balatan",1,4.05479e-05,0.75,51702000
3113,41243,"24;55;85;116;146;177;208;236;267;297;328;358;389","2020-07-08","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.606021252223406;0.650194552485662;0.914939608438482;0.87365713816247;0;0.259555131551047;0.95;0.362088109527235;0;0.675708630293577;0.256052223652084;0.654518689078349;0.654518689078349",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Cumulative",52,0.997052152500447,2.77968704709463,"muncity","Bato",1,4.05479e-05,0.75,51703000
1134,13062,"16;46;77;107;138;169;197;228;258;289;319;350","2020-08-16","2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.949970097166796;0.94998791575141;0.94998301023169;0.949987005019465;0.949947631845313;0.949990934729425;0.949973380216119;0.602703143354483;0.0969275217340964;0.808891402022937;0.17728324973391;0.17728324973391",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",3.60016728696763,3.40007209926583,3.73928102184663,"2021-06-01","Cumulative",0,0.960207123525055,16.0535982391207,"muncity","Bombon",2,4.05479e-05,0.75,51704000
1135,61027,"9;40;70;101;131;162;193;221;252;282;313;343;374","2020-07-23","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.95;0.463064135684489;0.698636747388166;0.213592792569694;0.624424849985732;0.831928451279706;0.722586703289593;0.95;0.95;0.95;0.634006045280377;0;0",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Cumulative",0,0.470803729085472,78.413941171011,"muncity","Buhi",1,4.05479e-05,0.75,51705000
293,54926,"2;33;64;94;125;155;186;217;245;276;306;337;367;398","2020-06-29","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.946687922377805;0.713404016037557;0.702686962860102;0.842141119635728;0.868057963593748;0.927927107472581;0.945326561989931;0.945828767168964;0.31936527060131;0.372415941735449;0.39266057324445;0.670327689390456;0.86125626755948;0.86125626755948",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Cumulative",52,0.988934322211198,90.4424573054855,"muncity","Bula",1,4.05479e-05,0.75,51706000
294,14554,"26;57;87;118;149;177;208;238;269;299;330","2020-09-05","2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.95;0.671705673249761;0.304112623703759;0.380189307401706;0.390649844365741;0.95;0.243224394205575;0;0.898329778478862;0.0712191025369694;0.0712191025369694",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Cumulative",52,0.99591288735869,1.38243196628217,"muncity","Cabusao",1,4.05479e-05,0.75,51707000
3114,65686,"21;52;82;113;143;174;205;233;264;294;325;355;386","2020-07-11","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.602639756623753;0.743957025841971;0.576038344498566;0.695169256588309;0.767825879704022;0.414586849319195;0.736227574641766;0.105046797450868;0.301861862641046;0.358065527615861;0.628867435840873;0.476293057417745;0.476293057417745",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Cumulative",0,0.998953305872973,3.47064271848537,"muncity","Calabanga",1,4.05479e-05,0.75,51708000
295,19073,"7;38;68;99;129;160;191;219;250;280;311;341;372","2020-07-25","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.95;0.65236104193148;0.756103855843867;0.680926556184914;0.95;0.353505783976797;0.382912236391349;0.57948872804613;0.029078620333728;0.487922088178952;0.348858581868363;0.95;0.95",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",7.02329368916844,1,1,"2021-06-01","Cumulative",0,0.997419710560967,3.10772674736678,"muncity","Camaligan",1,4.05479e-05,0.75,51709000
3115,27063,"27;58;88;119;149;180;211;239;270;300;331;361;392","2020-07-05","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.649597859958635;0.680353033457638;0.920792803092956;0.949382104654505;0;0;0.41604979329523;0.899422840277592;0.0277820838440741;0.425771073592011;0.533383567095454;0.589336616301378;0.589336616301378",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Cumulative",0,0.999411061743123,2.59232237870601,"muncity","Canaman",3,4.05479e-05,0.75,51710000
296,37660,"23;53;84;114;145;176;204;235;265;296;326;357","2020-08-09","2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30;2021-07-31","0.687583129160367;0.705572400117098;0.921838259317541;0.948268070832444;0.949873913641383;0.949957173471997;0.462620473456512;0.249826737874471;0.787484819942698;0.448315302356072;0.691674979585103;0.691674979585103",5,0.325757451,0.18,0.33,0.071428571,0.100055461568433,0.0647681259072504,0.00186532979969715,"0.0647681259072504;0.0755026422887688;0.0820838776345805;0.0913052365555432;0.0680582845490577;0.0888779596711867;0.117207452734783;0.128073675658443;0.141570685455677;0.147251489680755;0.12128837443382;0.162997456466445;0.131128069538621;0.141554887090624;0.148650973322232;0.141554887090624",1,1,1,"2021-06-01","Cumulative",52,0.946193610698305,31.0328045345766,"muncity","Caramoan",3,4.05479e-05,0.75,51711000
