Code,Name,GeographicLevel,CityClass,IncomeClassification,UrbanRural,Population
012811014,Lorenzo (Pob.),Bgy,,,R,794
012811015,Macayepyep,Bgy,,,R,1180
012811016,Marcos (Pob.),Bgy,,,R,975
012811017,Nagpatayan,Bgy,,,R,912
012811018,Valdez,Bgy,,,R,969
012811019,Sinamar,Bgy,,,R,1198
012811020,Tabtabagan,Bgy,,,R,1149
012811021,Valenciano (Pob.),Bgy,,,R,725
012811022,Binacag,Bgy,,,R,824
012812000,CITY OF LAOAG (Capital),City,CC,3rd,,111125
012812001,"Bgy. No. 42, Apaya",Bgy,,,R,916
012812002,"Bgy. No. 36, Araniw",Bgy,,,R,873
012812003,"Bgy. No. 56-A, Bacsil North",Bgy,,,R,951
012812004,"Bgy. No. 56-B, Bacsil South",Bgy,,,R,1349
012812005,"Bgy. No. 41, Balacad",Bgy,,,R,1422
012812006,"Bgy. No. 40, Balatong",Bgy,,,R,2659
012812007,"Bgy. No. 55-A, Barit-Pandan",Bgy,,,U,2233
012812008,"Bgy. No. 47, Bengcag",Bgy,,,U,1874
012812009,"Bgy. No. 50, Buttong",Bgy,,,U,3044
012812010,"Bgy. No. 60-A, Caaoacan",Bgy,,,R,1430
012812011,"Bry. No. 48-A, Cabungaan North",Bgy,,,R,1788
012812012,"Bgy. No. 48-B, Cabungaan South",Bgy,,,R,1239
012812013,"Bgy. No. 37, Calayab",Bgy,,,U,2081
012812014,"Bgy. No. 54-B, Camangaan",Bgy,,,R,1005
012812015,"Bgy. No. 58, Casili",Bgy,,,R,964
012812016,"Bgy. No. 61, Cataban",Bgy,,,R,766
012812017,"Bgy. No. 43, Cavit",Bgy,,,R,1086
012812019,"Bgy. No. 49-A, Darayday",Bgy,,,R,976
012812020,"Bgy. No. 59-B, Dibua North",Bgy,,,R,865
012812021,"Bgy. No. 59-A, Dibua South",Bgy,,,R,1100
012812022,"Bgy. No. 34-B, Gabu Norte East",Bgy,,,R,1230
012812023,"Bgy. No. 34-A, Gabu Norte West",Bgy,,,R,777
012812024,"Bgy. No. 35, Gabu Sur",Bgy,,,R,1778
