region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
10000000,2021-03-15,,nowcast,1.327018995,1.333832732,0.07163374318,1.228951304,1.286348009,1.311427844,1.343180257,1.375224166,1.462228003
10000000,2021-03-16,,nowcast,1.332841393,1.340155399,0.07169103755,1.235371297,1.292538595,1.316772573,1.349415522,1.381768139,1.467073623
10000000,2021-03-17,,nowcast,1.337612917,1.34490932,0.07170534865,1.240592207,1.296958131,1.321371723,1.354268936,1.386168308,1.472909832
10000000,2021-03-18,,nowcast,1.340886786,1.34801775,0.07178931044,1.243231609,1.300066277,1.324845006,1.358372264,1.387695455,1.475035935
10000000,2021-03-19,,nowcast,1.343099578,1.349429236,0.07209023693,1.243072496,1.301316284,1.327176745,1.359904954,1.388928429,1.47601716
10000000,2021-03-20,,nowcast,1.343341153,1.349125816,0.07276334196,1.241854003,1.301008051,1.327492519,1.361279836,1.390308069,1.474737196
10000000,2021-03-21,,nowcast,1.343302793,1.347130866,0.07394574329,1.235925021,1.29910387,1.326004802,1.359829848,1.388555771,1.471320262
10000000,2021-03-22,,nowcast,1.340510344,1.343515953,0.07576393985,1.228022032,1.294728488,1.32237058,1.358303676,1.387036678,1.468471726
10000000,2021-03-23,,nowcast,1.336472092,1.338405561,0.07838384841,1.216423095,1.287637597,1.317296004,1.354864837,1.385276048,1.467091556
10000000,2021-03-24,,nowcast,1.330840049,1.331977954,0.08205922934,1.202720691,1.27817553,1.310979995,1.35051296,1.382635818,1.465633013
10000000,2021-03-25,,nowcast,1.324384196,1.324460475,0.0871104454,1.18157604,1.267176035,1.303554134,1.345485017,1.379708795,1.465891803
10000000,2021-03-26,,nowcast,1.317121978,1.316118717,0.09381725763,1.159942141,1.255796228,1.294125735,1.339146235,1.377962677,1.467114682
10000000,2021-03-27,,nowcast,1.308333884,1.307240806,0.1022976391,1.136910867,1.242879577,1.283537763,1.333666206,1.374748623,1.471233376
10000000,2021-03-28,,forecast,1.300680939,1.298119604,0.112466124,1.112251711,1.226237056,1.27370551,1.327935396,1.373928078,1.478072366
10000000,2021-03-29,,forecast,1.292295897,1.289035912,0.1240895772,1.079520275,1.211256867,1.262552392,1.323413923,1.373095765,1.486210824
10000000,2021-03-30,,forecast,1.284907479,1.280244918,0.1368823673,1.047471572,1.196288144,1.251146806,1.318193956,1.373405894,1.495204087
10000000,2021-03-31,,forecast,1.277913726,1.271966872,0.1505823796,1.01467145,1.179705772,1.242172779,1.314301491,1.373349005,1.506778025
10000000,2021-04-01,,forecast,1.272356275,1.264381991,0.1649900843,0.9816340998,1.164074439,1.233388378,1.309627924,1.374232889,1.520255718
10000000,2021-04-02,,forecast,1.267782148,1.257629031,0.1799799387,0.950789542,1.149687014,1.224592073,1.307638208,1.376473459,1.536906806
10000000,2021-04-03,,forecast,1.262640449,1.25180666,0.1954971184,0.9159226767,1.134666986,1.216220372,1.305079495,1.378628549,1.55671321
10000000,2021-04-04,,forecast,1.257884292,1.246976622,0.2115479061,0.8858660544,1.121497832,1.207720173,1.303717277,1.381622901,1.576761967
10000000,2021-04-05,,forecast,1.254211792,1.243167842,0.2281892861,0.8569507703,1.108164063,1.200809097,1.303534364,1.38587855,1.599485641
10000000,2021-04-06,,forecast,1.251035995,1.240381012,0.2455230128,0.8306234941,1.094662007,1.193583822,1.30363987,1.390103714,1.623550435
10000000,2021-04-07,,forecast,1.246982715,1.238593696,0.2636979853,0.8010630321,1.082104743,1.186266448,1.303414628,1.395081894,1.652694678
10000000,2021-04-08,,forecast,1.244048408,1.237766192,0.28291901,0.7733317645,1.069915744,1.180596937,1.303340457,1.401467982,1.678957332
10000000,2021-04-09,,forecast,1.242163253,1.237848079,0.3034506856,0.7499893521,1.057123242,1.175567345,1.303690177,1.407560928,1.706757739
10000000,2021-04-10,,forecast,1.2412403,1.238784729,0.3255999115,0.7271522087,1.047220795,1.169086397,1.305069122,1.41440695,1.736797454
10000000,2021-04-11,,forecast,1.239040936,1.24052262,0.3496713603,0.7096932403,1.037299503,1.165268833,1.305854728,1.42217081,1.769222228
10000000,2021-04-12,,forecast,1.239040936,1.24052262,0.3496713603,0.7096932403,1.037299503,1.165268833,1.305854728,1.42217081,1.769222228
10000000,2021-04-13,,forecast,1.239040936,1.24052262,0.3496713603,0.7096932403,1.037299503,1.165268833,1.305854728,1.42217081,1.769222228
10000000,2021-04-14,,forecast,1.239040936,1.24052262,0.3496713603,0.7096932403,1.037299503,1.165268833,1.305854728,1.42217081,1.769222228
10000000,2021-04-15,,forecast,1.239040936,1.24052262,0.3496713603,0.7096932403,1.037299503,1.165268833,1.305854728,1.42217081,1.769222228
10000000,2021-04-16,,forecast,1.239040936,1.24052262,0.3496713603,0.7096932403,1.037299503,1.165268833,1.305854728,1.42217081,1.769222228
10000000,2021-04-17,,forecast,1.239040936,1.24052262,0.3496713603,0.7096932403,1.037299503,1.165268833,1.305854728,1.42217081,1.769222228
10000000,2021-04-18,,forecast,1.239040936,1.24052262,0.3496713603,0.7096932403,1.037299503,1.165268833,1.305854728,1.42217081,1.769222228
100000000,2020-12-12,,nowcast,1.060154956,1.059207794,0.09274364666,0.9085032162,1.006766483,1.039312526,1.079892378,1.114987814,1.206073211
100000000,2020-12-13,,nowcast,1.061462326,1.06041451,0.08653174162,0.9198961157,1.009977293,1.040875855,1.079580441,1.112973248,1.199576558
100000000,2020-12-14,,nowcast,1.062104701,1.061751245,0.08051038698,0.9320145968,1.013958281,1.042944948,1.079997465,1.11085029,1.191991971
100000000,2020-12-15,,nowcast,1.063033937,1.063198844,0.07474629254,0.9434321039,1.018236531,1.045633649,1.080431024,1.109450096,1.185310474
100000000,2020-12-16,,nowcast,1.064353361,1.064728838,0.06931018457,0.9528607455,1.021945753,1.048045418,1.08121125,1.108145452,1.177578282
100000000,2020-12-17,,nowcast,1.065808898,1.066302792,0.06427547361,0.9629845754,1.025445228,1.050056985,1.081309001,1.107185071,1.171754059
100000000,2020-12-18,,nowcast,1.067267575,1.067872443,0.05971599942,0.9719137039,1.029353086,1.05222063,1.081448941,1.105897869,1.165893149
100000000,2020-12-19,,nowcast,1.068288824,1.069380685,0.05570194386,0.9798473698,1.032967862,1.054287898,1.08218849,1.105317446,1.161652384
100000000,2020-12-20,,nowcast,1.069293864,1.070763344,0.05229268275,0.9875260439,1.036044587,1.056350484,1.082898132,1.104257976,1.157887746
100000000,2020-12-21,,nowcast,1.070675542,1.071951644,0.0495260848,0.9929119538,1.038465373,1.058492811,1.082723588,1.103117035,1.155694178
100000000,2020-12-22,,nowcast,1.071340818,1.072875198,0.04740603924,0.9979160139,1.040502118,1.059962558,1.083011522,1.102784975,1.153429071
100000000,2020-12-23,,nowcast,1.071483864,1.073465354,0.0458929627,1.002275212,1.042293571,1.060451181,1.083254716,1.102174484,1.151731292
100000000,2020-12-24,,nowcast,1.071673265,1.073658671,0.04490308671,1.005058027,1.043228864,1.060461168,1.082214919,1.101237489,1.150822996
100000000,2020-12-25,,nowcast,1.070656108,1.07340024,0.04431907708,1.006639683,1.043652334,1.060152632,1.081241053,1.099935238,1.149631047
100000000,2020-12-26,,nowcast,1.069853566,1.07264652,0.04400840789,1.006614313,1.043341796,1.059594368,1.080200758,1.097779711,1.149165807
100000000,2020-12-27,,nowcast,1.06797453,1.07136739,0.04384200199,1.006663851,1.041985701,1.05851387,1.078562836,1.096167622,1.147486428
100000000,2020-12-28,,nowcast,1.066181061,1.069547223,0.04370725499,1.005058073,1.040275049,1.056460989,1.076412795,1.093812192,1.14583158
100000000,2020-12-29,,nowcast,1.063564953,1.06718494,0.04351453839,1.00425222,1.038090194,1.053569137,1.074019226,1.091342979,1.142580041
100000000,2020-12-30,,nowcast,1.060120202,1.064293173,0.04320000657,1.002708822,1.035469614,1.050656426,1.070651699,1.088366066,1.138297799
100000000,2020-12-31,,nowcast,1.05658117,1.060896742,0.04272767648,1.000073264,1.032273887,1.046957278,1.06661655,1.084937738,1.134739415
100000000,2021-01-01,,nowcast,1.052277469,1.057030656,0.04209135793,0.9974316387,1.028790222,1.043287222,1.062247674,1.080341358,1.131900392
100000000,2021-01-02,,nowcast,1.048083043,1.052737838,0.04131452339,0.9937548343,1.025109012,1.039338,1.057912193,1.075919502,1.126872888
100000000,2021-01-03,,nowcast,1.043546205,1.048066734,0.04044542925,0.9904787281,1.020977289,1.035005799,1.05303284,1.07107425,1.12086644
100000000,2021-01-04,,nowcast,1.038805586,1.043068983,0.03954621858,0.9867071676,1.016627085,1.030394008,1.047956075,1.065847935,1.113321472
100000000,2021-01-05,,nowcast,1.033766169,1.037797364,0.03867765997,0.9823869647,1.011994731,1.025369323,1.043020724,1.059844225,1.10675301
100000000,2021-01-06,,nowcast,1.028757179,1.032304231,0.03788412197,0.9776489399,1.00699609,1.020548185,1.037534023,1.053970895,1.098856669
100000000,2021-01-07,,nowcast,1.023767514,1.026640558,0.0371845193,0.9725036392,1.002327526,1.015396852,1.032040745,1.048142899,1.090968426
100000000,2021-01-08,,nowcast,1.018218055,1.020855564,0.03657297237,0.9672954485,0.9973135853,1.010153728,1.02633725,1.041625656,1.084302628
100000000,2021-01-09,,nowcast,1.012742923,1.014996725,0.03602829039,0.9618307935,0.9921938709,1.005006158,1.020788629,1.035728502,1.076404917
100000000,2021-01-10,,nowcast,1.007263627,1.009109839,0.0355269195,0.9555701561,0.9868138606,0.9998464362,1.015215097,1.029475502,1.069204415
100000000,2021-01-11,,nowcast,1.002056354,1.003238883,0.03505291923,0.9496276464,0.9816499817,0.9942120823,1.009822262,1.023293336,1.06204089
100000000,2021-01-12,,nowcast,0.9968360018,0.9974254919,0.03460149786,0.9438678228,0.9764729095,0.9888420378,1.004135851,1.017377219,1.054258836
100000000,2021-01-13,,nowcast,0.9913525151,0.9917080983,0.03417705519,0.9382479618,0.9711876171,0.9834839462,0.9987902617,1.011822295,1.048059574
100000000,2021-01-14,,nowcast,0.9859000649,0.9861209296,0.03378923441,0.9327168219,0.965912898,0.9783229071,0.9937203114,1.006378342,1.041267813
100000000,2021-01-15,,nowcast,0.9807194969,0.9806930731,0.03345001413,0.9268074508,0.9606182661,0.973066902,0.9886046955,1.001100889,1.034163196
100000000,2021-01-16,,nowcast,0.9757203196,0.9754478157,0.0331727663,0.9213556651,0.9554487095,0.968117718,0.9833971597,0.9958593847,1.028346019
100000000,2021-01-17,,nowcast,0.971111547,0.9704023752,0.03297248035,0.9169354073,0.9505585545,0.9632178057,0.9786088652,0.9909650901,1.022428104
100000000,2021-01-18,,nowcast,0.9665618404,0.9655680684,0.0328657832,0.9123991137,0.9457034087,0.958737735,0.9739517229,0.9861096497,1.016406569
100000000,2021-01-19,,nowcast,0.9618795157,0.9609509072,0.03286949443,0.9062383385,0.9407317421,0.9541658532,0.9693451525,0.9816372284,1.012142988
100000000,2021-01-20,,nowcast,0.9574109797,0.9565525888,0.03299688124,0.9016077633,0.936534265,0.9498841224,0.9649817027,0.9777615071,1.007492227
100000000,2021-01-21,,nowcast,0.9533207749,0.9523718343,0.03325194264,0.8962883516,0.9323034125,0.9459148507,0.9609043137,0.973631239,1.002891542
100000000,2021-01-22,,nowcast,0.9496361264,0.9484060232,0.03362401149,0.8911982378,0.9284234694,0.9420666105,0.9569853664,0.9697266325,0.9997511701
100000000,2021-01-23,,nowcast,0.946082091,0.944653034,0.03408616067,0.8865484344,0.9245891638,0.9382229417,0.9533556924,0.9663379771,0.99698594
100000000,2021-01-24,,nowcast,0.9425752963,0.9411131411,0.03459945801,0.8827729452,0.9205024185,0.9345530349,0.9501939648,0.9630169215,0.9935265948
100000000,2021-01-25,,nowcast,0.9390608647,0.937790746,0.03512158286,0.8786175319,0.9166241209,0.931084406,0.9471484462,0.9599340411,0.9910062133
100000000,2021-01-26,,nowcast,0.9362436905,0.9346956879,0.03561566855,0.8750457858,0.9133421824,0.9276916709,0.9444511367,0.9572792569,0.988152974
100000000,2021-01-27,,nowcast,0.9334312236,0.9318439215,0.03605565585,0.8714210692,0.9105086942,0.9247347768,0.9415895683,0.9549513048,0.985750668
100000000,2021-01-28,,nowcast,0.9310890357,0.9292574604,0.03642716747,0.8672401442,0.9077235813,0.9221271304,0.9391430552,0.9525108061,0.9839071626
100000000,2021-01-29,,nowcast,0.928948363,0.9269636184,0.03672540978,0.8637624135,0.9051843456,0.9198512293,0.9373110061,0.9505909565,0.981740964
100000000,2021-01-30,,nowcast,0.9270563722,0.9249936882,0.03695211847,0.8610986614,0.9035564536,0.9183503294,0.9354970779,0.9489381307,0.9795559136
100000000,2021-01-31,,nowcast,0.9256902596,0.923381246,0.03711247296,0.85976453,0.9016280209,0.9166894283,0.9341558202,0.9477510796,0.9784192119
100000000,2021-02-01,,nowcast,0.9244407135,0.9221602736,0.03721194625,0.8578329124,0.9005488406,0.9159666339,0.9332373149,0.9465735611,0.9771957655
100000000,2021-02-02,,nowcast,0.9241927249,0.9213632726,0.03725330613,0.8564138736,0.899922505,0.9151856931,0.9325760851,0.9458775937,0.9762553155
100000000,2021-02-03,,nowcast,0.9238910522,0.9210195183,0.03723480884,0.8562471325,0.8993509166,0.9152126862,0.9321538677,0.9456612473,0.9759327916
100000000,2021-02-04,,nowcast,0.9241311967,0.9211535649,0.0371507066,0.8564312416,0.8999170753,0.9156637339,0.9321991283,0.9456062707,0.9760246586
100000000,2021-02-05,,nowcast,0.92463281,0.9217840679,0.03699416776,0.8574092876,0.900655822,0.9162843037,0.9331154531,0.9461549289,0.9766721073
100000000,2021-02-06,,nowcast,0.9260783123,0.9229229432,0.03676149778,0.8584549116,0.9018040918,0.9172276895,0.9342951395,0.9467716842,0.9776883341
