"","date","confirm","region"
"234",2021-11-10,16,"101300000"
"235",2021-11-11,8,"101300000"
"236",2021-11-12,3,"101300000"
"237",2021-11-13,6,"101300000"
"238",2021-11-14,15,"101300000"
"239",2021-11-15,4,"101300000"
"240",2021-11-16,6,"101300000"
"241",2021-11-17,3,"101300000"
"242",2021-11-18,4,"101300000"
"243",2021-11-19,9,"101300000"
"244",2021-11-20,1,"101300000"
"245",2021-11-21,5,"101300000"
"246",2021-11-22,4,"101300000"
"247",2021-11-23,1,"101300000"
"248",2021-11-24,1,"101300000"
"249",2021-11-25,1,"101300000"
"250",2021-11-26,5,"101300000"
"251",2021-11-27,5,"101300000"
"252",2021-11-28,3,"101300000"
"253",2021-11-29,4,"101300000"
"254",2021-11-30,4,"101300000"
"255",2021-12-01,0,"101300000"
"256",2021-12-02,1,"101300000"
"257",2021-12-03,0,"101300000"
"258",2021-12-04,0,"101300000"
"259",2021-12-05,1,"101300000"
"260",2021-12-06,0,"101300000"
"261",2021-12-07,1,"101300000"
"262",2021-12-08,2,"101300000"
"263",2021-12-09,2,"101300000"
"264",2021-12-10,3,"101300000"
"265",2021-12-11,4,"101300000"
"266",2021-12-12,1,"101300000"
"267",2021-12-13,6,"101300000"
"268",2021-12-14,1,"101300000"
"269",2021-12-15,0,"101300000"
"270",2021-12-16,0,"101300000"
"271",2021-12-17,1,"101300000"
"272",2021-12-18,0,"101300000"
"273",2021-12-19,0,"101300000"
"274",2021-12-20,0,"101300000"
"275",2021-12-21,2,"101300000"
"276",2021-12-22,0,"101300000"
"277",2021-12-23,0,"101300000"
"278",2021-12-24,1,"101300000"
"279",2021-12-25,1,"101300000"
"280",2021-12-26,0,"101300000"
"281",2021-12-27,4,"101300000"
"282",2021-12-28,2,"101300000"
"283",2021-12-29,1,"101300000"
"284",2021-12-30,5,"101300000"
"285",2021-12-31,8,"101300000"
"286",2022-01-01,9,"101300000"
"287",2022-01-02,1,"101300000"
"288",2022-01-03,2,"101300000"
"289",2022-01-04,7,"101300000"
"290",2022-01-05,2,"101300000"
"291",2022-01-06,10,"101300000"
"292",2022-01-07,8,"101300000"
"293",2022-01-08,23,"101300000"
"294",2022-01-09,30,"101300000"
"295",2022-01-10,23,"101300000"
"296",2022-01-11,17,"101300000"
"297",2022-01-12,28,"101300000"
"298",2022-01-13,51,"101300000"
"299",2022-01-14,46,"101300000"
"300",2022-01-15,79,"101300000"
"301",2022-01-16,60,"101300000"
"302",2022-01-17,71,"101300000"
"303",2022-01-18,66,"101300000"
"304",2022-01-19,65,"101300000"
"305",2022-01-20,132,"101300000"
"306",2022-01-21,198,"101300000"
"307",2022-01-22,294,"101300000"
"308",2022-01-23,295,"101300000"
"309",2022-01-24,237,"101300000"
"310",2022-01-25,151,"101300000"
"311",2022-01-26,228,"101300000"
"312",2022-01-27,274,"101300000"
"313",2022-01-28,474,"101300000"
"314",2022-01-29,311,"101300000"
"315",2022-01-30,506,"101300000"
"316",2022-01-31,292,"101300000"
"317",2022-02-01,91,"101300000"
"318",2022-02-02,64,"101300000"
"319",2022-02-03,295,"101300000"
"320",2022-02-04,82,"101300000"
"321",2022-02-05,223,"101300000"
"322",2022-02-06,208,"101300000"
"323",2022-02-07,144,"101300000"
"324",2022-02-08,24,"101300000"
"325",2022-02-09,62,"101300000"
"326",2022-02-10,148,"101300000"
"327",2022-02-11,41,"101300000"
"328",2022-02-12,75,"101300000"
"329",2022-02-13,50,"101300000"
"330",2022-02-14,27,"101300000"
"331",2022-02-15,23,"101300000"
"332",2022-02-16,28,"101300000"
"333",2022-02-17,25,"101300000"
"334",2022-02-18,42,"101300000"
"335",2022-02-19,20,"101300000"
"336",2022-02-20,19,"101300000"
"337",2021-11-01,1,"101800000"
"338",2021-11-02,0,"101800000"
"339",2021-11-03,0,"101800000"
"340",2021-11-04,0,"101800000"
"341",2021-11-05,0,"101800000"
"342",2021-11-06,1,"101800000"
"343",2021-11-07,0,"101800000"
"344",2021-11-08,0,"101800000"
"345",2021-11-09,0,"101800000"
"346",2021-11-10,2,"101800000"
"347",2021-11-11,1,"101800000"
"348",2021-11-12,0,"101800000"
"349",2021-11-13,0,"101800000"
"350",2021-11-14,2,"101800000"
"351",2021-11-15,0,"101800000"
"352",2021-11-16,2,"101800000"
"353",2021-11-17,0,"101800000"
"354",2021-11-18,1,"101800000"
"355",2021-11-19,1,"101800000"
