,X,Bgy_Code,cases_7,cases_14,infection_rate,classification,population,AR_7,AR_14,AR_cumulative,AR_active,linelist_date
29641,15,82612018,0,0,0,NA,0,0,0,0,0,2021-11-14
29642,16,82612021,0,0,0,NA,0,0,0,0,0,2021-11-14
29643,1,82613019,0,0,0,NA,0,0,0,0,0,2021-11-14
29644,2,82613030,0,0,0,NA,0,0,0,0,0,2021-11-14
29645,3,82613033,0,0,0,NA,0,0,0,0,0,2021-11-14
29646,4,82613004,0,0,0,NA,0,0,0,0,0,2021-11-14
29647,5,82613010,0,0,0,NA,0,0,0,0,0,2021-11-14
29648,6,82613003,0,0,0,NA,0,0,0,0,0,2021-11-14
29649,7,82613025,0,0,0,NA,0,0,0,0,0,2021-11-14
29650,8,82613034,0,0,0,NA,0,0,0,0,0,2021-11-14
29651,9,82613015,0,0,0,NA,0,0,0,0,0,2021-11-14
29652,10,82613026,0,0,0,NA,0,0,0,0,0,2021-11-14
29653,11,82613031,0,0,0,NA,0,0,0,0,0,2021-11-14
29654,12,82613001,0,0,0,NA,0,0,0,0,0,2021-11-14
29655,13,82613018,0,0,0,NA,0,0,0,0,0,2021-11-14
29656,14,82613027,0,0,0,NA,0,0,0,0,0,2021-11-14
29657,15,82613002,0,0,0,NA,0,0,0,0,0,2021-11-14
29658,16,82613007,0,0,0,NA,0,0,0,0,0,2021-11-14
29659,17,82613005,0,0,0,NA,0,0,0,0,0,2021-11-14
29660,18,82613022,0,0,0,NA,0,0,0,0,0,2021-11-14
29661,19,82613006,0,0,0,NA,0,0,0,0,0,2021-11-14
29662,20,82613008,0,0,0,NA,0,0,0,0,0,2021-11-14
29663,21,82613011,0,0,0,NA,0,0,0,0,0,2021-11-14
29664,22,82613012,0,0,0,NA,0,0,0,0,0,2021-11-14
29665,23,82613013,0,0,0,NA,0,0,0,0,0,2021-11-14
29666,24,82613016,0,0,0,NA,0,0,0,0,0,2021-11-14
29667,25,82613017,0,0,0,NA,0,0,0,0,0,2021-11-14
29668,26,82613020,0,0,0,NA,0,0,0,0,0,2021-11-14
29669,27,82613021,0,0,0,NA,0,0,0,0,0,2021-11-14
29670,28,82613023,0,0,0,NA,0,0,0,0,0,2021-11-14
29671,29,82613024,0,0,0,NA,0,0,0,0,0,2021-11-14
29672,30,82613028,0,0,0,NA,0,0,0,0,0,2021-11-14
29673,31,82613029,0,0,0,NA,0,0,0,0,0,2021-11-14
29674,32,82613032,0,0,0,NA,0,0,0,0,0,2021-11-14
29675,33,82613014,0,0,0,NA,0,0,0,0,0,2021-11-14
29676,1,82616016,0,0,0,NA,0,0,0,0,0,2021-11-14
29677,2,82616015,0,0,0,NA,0,0,0,0,0,2021-11-14
29678,3,82616012,0,1,19.34235977,1,517,0,19.34235977,212.7659574,0,2021-11-14
29679,4,82616005,0,0,0,NA,0,0,0,0,0,2021-11-14
29680,5,82616003,0,0,0,NA,0,0,0,0,0,2021-11-14
29681,6,82616006,0,0,0,1,0,0,0,0,0,2021-11-14
29682,7,82616013,0,0,0,NA,0,0,0,0,0,2021-11-14
29683,8,82616002,0,0,0,NA,0,0,0,0,0,2021-11-14
29684,9,82616001,0,0,0,NA,0,0,0,0,0,2021-11-14
29685,10,82616004,0,0,0,NA,0,0,0,0,0,2021-11-14
29686,11,82616007,0,0,0,NA,0,0,0,0,0,2021-11-14
29687,12,82616008,0,0,0,NA,0,0,0,0,0,2021-11-14
29688,13,82616009,0,0,0,NA,0,0,0,0,0,2021-11-14
29689,14,82616010,0,0,0,NA,0,0,0,0,0,2021-11-14
29690,15,82616011,0,0,0,NA,0,0,0,0,0,2021-11-14
29691,16,82616014,0,0,0,NA,0,0,0,0,0,2021-11-14
29692,1,83701014,0,0,0,NA,0,0,0,0,0,2021-11-14
29693,2,83701012,0,0,0,NA,0,0,0,0,0,2021-11-14
29694,3,83701024,0,0,0,NA,0,0,0,0,0,2021-11-14
29695,4,83701051,0,0,0,NA,0,0,0,0,0,2021-11-14
29696,5,83701050,0,0,0,NA,0,0,0,0,0,2021-11-14
29697,6,83701032,0,0,0,NA,0,0,0,0,0,2021-11-14
29698,7,83701055,0,0,0,NA,0,0,0,0,0,2021-11-14
29699,8,83701031,0,0,0,NA,0,0,0,0,0,2021-11-14
29700,9,83701061,0,0,0,NA,0,0,0,0,0,2021-11-14
29701,10,83701062,0,0,0,NA,0,0,0,0,0,2021-11-14
29702,11,83701027,0,0,0,NA,0,0,0,0,0,2021-11-14
29703,12,83701035,0,0,0,NA,0,0,0,0,0,2021-11-14
