"","X","Bgy_Code","cases_7","cases_14","infection_rate","classification","population","AR_7","AR_14","AR_cumulative","AR_active","linelist_date"
"7528",16,153805015,0,0,0,NA,0,0,0,0,0,2022-04-17
"7529",17,153805016,0,0,0,NA,0,0,0,0,0,2022-04-17
"7530",18,153805019,0,0,0,NA,0,0,0,0,0,2022-04-17
"7531",19,153805020,0,0,0,NA,0,0,0,0,0,2022-04-17
"7532",20,153805024,0,0,0,NA,0,0,0,0,0,2022-04-17
"7533",21,153805025,0,0,0,NA,0,0,0,0,0,2022-04-17
"7534",22,153805027,0,0,0,NA,0,0,0,0,0,2022-04-17
"7535",23,153805001,0,0,0,NA,0,0,0,0,0,2022-04-17
"7536",1,153807034,0,0,0,NA,0,0,0,0,0,2022-04-17
"7537",2,153807027,0,0,0,NA,0,0,0,0,0,2022-04-17
"7538",3,153807004,0,0,0,NA,0,0,0,0,0,2022-04-17
"7539",4,153807019,0,0,0,NA,0,0,0,0,0,2022-04-17
"7540",5,153807030,0,0,0,NA,0,0,0,0,0,2022-04-17
"7541",6,153807032,0,0,0,1,0,0,0,0,0,2022-04-17
"7542",7,153807006,0,0,0,NA,0,0,0,0,0,2022-04-17
"7543",8,153807018,0,0,0,NA,0,0,0,0,0,2022-04-17
"7544",9,153807009,0,0,0,NA,0,0,0,0,0,2022-04-17
"7545",10,153807010,0,0,0,1,0,0,0,0,0,2022-04-17
"7546",11,153807003,0,0,0,NA,0,0,0,0,0,2022-04-17
"7547",12,153807001,0,0,0,NA,0,0,0,0,0,2022-04-17
"7548",13,153807005,0,0,0,NA,0,0,0,0,0,2022-04-17
"7549",14,153807007,0,0,0,NA,0,0,0,0,0,2022-04-17
"7550",15,153807008,0,0,0,NA,0,0,0,0,0,2022-04-17
"7551",16,153807011,0,0,0,NA,0,0,0,0,0,2022-04-17
"7552",17,153807014,0,0,0,1,0,0,0,0,0,2022-04-17
"7553",18,153807015,0,0,0,NA,0,0,0,0,0,2022-04-17
"7554",19,153807017,0,0,0,NA,0,0,0,0,0,2022-04-17
"7555",20,153807020,0,0,0,NA,0,0,0,0,0,2022-04-17
"7556",21,153807021,0,0,0,NA,0,0,0,0,0,2022-04-17
"7557",22,153807022,0,0,0,NA,0,0,0,0,0,2022-04-17
"7558",23,153807023,0,0,0,NA,0,0,0,0,0,2022-04-17
"7559",24,153807024,0,0,0,NA,0,0,0,0,0,2022-04-17
"7560",25,153807025,0,0,0,NA,0,0,0,0,0,2022-04-17
"7561",26,153807026,0,0,0,NA,0,0,0,0,0,2022-04-17
"7562",27,153807028,0,0,0,1,0,0,0,0,0,2022-04-17
"7563",28,153807029,0,0,0,NA,0,0,0,0,0,2022-04-17
"7564",29,153807031,0,0,0,NA,0,0,0,0,0,2022-04-17
"7565",30,153807033,0,0,0,NA,0,0,0,0,0,2022-04-17
"7566",31,153807035,0,0,0,NA,0,0,0,0,0,2022-04-17
"7567",32,153807036,0,0,0,NA,0,0,0,0,0,2022-04-17
"7568",33,153807002,0,1,0.840548037320333,1,11897,0,0.840548037320333,795.158443305035,8.40548037320333,2022-04-17
"7569",34,153807013,0,0,0,NA,0,0,0,0,0,2022-04-17
"7570",1,153810008,0,0,0,NA,0,0,0,0,0,2022-04-17
"7571",2,153810006,0,0,0,NA,0,0,0,0,0,2022-04-17
"7572",3,153810001,0,0,0,NA,0,0,0,0,0,2022-04-17
"7573",4,153810013,0,0,0,NA,0,0,0,0,0,2022-04-17
"7574",5,153810014,0,0,0,NA,0,0,0,0,0,2022-04-17
"7575",6,153810004,0,0,0,NA,0,0,0,0,0,2022-04-17
"7576",7,153810009,0,0,0,NA,0,0,0,0,0,2022-04-17
"7577",8,153810010,0,0,0,NA,0,0,0,0,0,2022-04-17
"7578",9,153810015,0,0,0,NA,0,0,0,0,0,2022-04-17
"7579",10,153810017,0,0,0,NA,0,0,0,0,0,2022-04-17
"7580",11,153810025,0,0,0,NA,0,0,0,0,0,2022-04-17
"7581",12,153810021,0,0,0,NA,0,0,0,0,0,2022-04-17
"7582",1,153812016,0,0,0,NA,0,0,0,0,0,2022-04-17
"7583",2,153812039,0,0,0,NA,0,0,0,0,0,2022-04-17
"7584",3,153812026,0,0,0,NA,0,0,0,0,0,2022-04-17
"7585",4,153812024,0,0,0,1,0,0,0,0,0,2022-04-17
"7586",5,153812009,0,0,0,1,0,0,0,0,0,2022-04-17
"7587",6,153812013,0,0,0,NA,0,0,0,0,0,2022-04-17
"7588",7,153812001,0,0,0,NA,0,0,0,0,0,2022-04-17
"7589",8,153812044,0,0,0,1,0,0,0,0,0,2022-04-17
"7590",9,153812010,1,1,1.81488203266788,NA,5510,1.81488203266788,1.81488203266788,163.339382940109,1.81488203266788,2022-04-17
"7591",10,153812019,0,0,0,NA,0,0,0,0,0,2022-04-17
"7592",11,153812043,0,0,0,NA,0,0,0,0,0,2022-04-17
"7593",12,153812030,0,0,0,1,0,0,0,0,0,2022-04-17
"7594",13,153812035,0,0,0,NA,0,0,0,0,0,2022-04-17
"7595",14,153812003,0,0,0,NA,0,0,0,0,0,2022-04-17
"7596",15,153812004,0,0,0,1,0,0,0,0,0,2022-04-17
"7597",16,153812006,0,0,0,1,0,0,0,0,0,2022-04-17
"7598",17,153812007,0,0,0,NA,0,0,0,0,0,2022-04-17
"7599",18,153812014,1,1,2.81928390188892,1,3547,2.81928390188892,2.81928390188892,253.735551170003,8.45785170566676,2022-04-17
"7600",19,153812015,0,0,0,NA,0,0,0,0,0,2022-04-17
"7601",20,153812017,0,0,0,NA,0,0,0,0,0,2022-04-17
"7602",21,153812018,0,0,0,NA,0,0,0,0,0,2022-04-17
"7603",22,153812023,0,0,0,NA,0,0,0,0,0,2022-04-17
"7604",23,153812027,0,0,0,1,0,0,0,0,0,2022-04-17
"7605",24,153812028,0,0,0,NA,0,0,0,0,0,2022-04-17
"7606",25,153812029,0,0,0,NA,0,0,0,0,0,2022-04-17
"7607",26,153812031,0,0,0,NA,0,0,0,0,0,2022-04-17
"7608",27,153812033,0,0,0,NA,0,0,0,0,0,2022-04-17
"7609",28,153812034,0,0,0,NA,0,0,0,0,0,2022-04-17
"7610",29,153812036,0,0,0,NA,0,0,0,0,0,2022-04-17
"7611",30,153812037,0,0,0,NA,0,0,0,0,0,2022-04-17
"7612",31,153812038,0,0,0,NA,0,0,0,0,0,2022-04-17
"7613",32,153812040,0,0,0,3,0,0,0,0,0,2022-04-17
"7614",33,153812041,0,0,0,1,0,0,0,0,0,2022-04-17
"7615",34,153812042,1,1,2.13037920749893,1,4694,2.13037920749893,2.13037920749893,191.734128674904,2.13037920749893,2022-04-17
"7616",35,153812051,0,0,0,1,0,0,0,0,0,2022-04-17
"7617",36,153812052,0,0,0,NA,0,0,0,0,0,2022-04-17
"7618",37,153812053,0,0,0,NA,0,0,0,0,0,2022-04-17
"7619",38,153812012,0,0,0,NA,0,0,0,0,0,2022-04-17
"7620",39,153812020,0,0,0,NA,0,0,0,0,0,2022-04-17
"7621",1,153815042,0,0,0,NA,0,0,0,0,0,2022-04-17
"7622",2,153815028,0,0,0,NA,0,0,0,0,0,2022-04-17
"7623",3,153815008,0,0,0,NA,0,0,0,0,0,2022-04-17
"7624",4,153815013,0,0,0,NA,0,0,0,0,0,2022-04-17
"7625",5,153815003,0,0,0,NA,0,0,0,0,0,2022-04-17
"7626",6,153815012,0,0,0,3,0,0,0,0,0,2022-04-17
"7627",7,153815029,0,0,0,NA,0,0,0,0,0,2022-04-17
"7628",8,153815006,0,0,0,NA,0,0,0,0,0,2022-04-17
"7629",9,153815002,0,0,0,1,0,0,0,0,0,2022-04-17
"7630",10,153815022,0,0,0,1,0,0,0,0,0,2022-04-17
"7631",11,153815004,0,0,0,1,0,0,0,0,0,2022-04-17
"7632",12,153815031,0,0,0,NA,0,0,0,0,0,2022-04-17
"7633",13,153815005,0,0,0,NA,0,0,0,0,0,2022-04-17
"7634",14,153815009,0,0,0,NA,0,0,0,0,0,2022-04-17
"7635",15,153815010,0,0,0,NA,0,0,0,0,0,2022-04-17
"7636",16,153815014,0,0,0,NA,0,0,0,0,0,2022-04-17
"7637",17,153815017,0,0,0,NA,0,0,0,0,0,2022-04-17
"7638",18,153815023,0,0,0,NA,0,0,0,0,0,2022-04-17
"7639",19,153815030,0,0,0,NA,0,0,0,0,0,2022-04-17
"7640",20,153815032,0,0,0,NA,0,0,0,0,0,2022-04-17
"7641",21,153815034,0,0,0,NA,0,0,0,0,0,2022-04-17
