"X","pop","equar","first_date","equar_date","lambdaValues","tau","beta","c","omega","theta","r","deltaA","epsT","deltaS","E0","IA0","IS0","startProjection_date","FittedTo","Convergence","fitness","distance","Geographical.Level","Geographical.Place","C0","mu","popMultiplier","area"
155,18790,"28;59;89;120;151;181;212;242;273;304;332;363;393;424;454","2020-04-03","2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.949968401336275;0.95;0.630678103595273;0.535309067772319;0.465755946433221;0.523130985946656;0.874323273686228;0.944455200278232;0.949562482858422;0.949515703785326;0.619483390153462;0.563737219247783;0.693133890600238;0.18664035263984;0.18664035263984",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1.08662198199794,1,"2021-06-01","Cumulative",0,0.911907562604578,78.9700102282048,"muncity","Piat",1,4.05479e-05,0.75,21520000
335,14327,"31;61;92;122;153;184;212;243;273;304;334","2020-08-01","2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.6349453220151;0.759919587918704;0.924868278518963;0.934887515525688;0.947278479985048;0.946522032697827;0.112972653141236;0.444172993000567;0.335330363821912;0.296311026972912;0.296311026972912",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",52,0.928899849206879,40.0656975630788,"muncity","Rizal",1,4.05479e-05,0.75,21521000
226,19542,"26;57;87;118;148;179;210;238;269;299;330;360","2020-07-06","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.780879377431474;0.681771023798436;0.874165246629887;0.94171710054396;0.94948784126153;0.949977429186347;0.949999071826286;0;0.386753126841119;0.374131223821166;0.0235709347501309;0.0235709347501309",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",52,0.851465791686746,51.6379060194099,"muncity","Sanchez-mira",1,4.05479e-05,0.75,21522000
227,26204,"9;40;71;101;132;162;193;224;252;283;313;344;374","2020-06-22","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.95;0.694309494392318;0.619941653761643;0.785224985860282;0.919634360021019;0.947817753568995;0.949900413977716;0.949995755186306;0.595727575778344;0;0.647377564363876;0.339853149411638;0.339853149411638",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",52,0.988806174291334,93.8207912477936,"muncity","Santa ana",1,4.05479e-05,0.75,21523000
336,15159,"5;36;67;97;128;158;189;220;248;279;309;340;370","2020-06-26","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.949609782790834;0.949907807075052;0.95;0.949519152164983;0.949977729350346;0.949623702048031;0.949819513950109;0.949554434493291;0.949530144604849;0.412058646557114;0.122295820869715;0.439537948816314;0.439537948816314",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",4.10900601839631,4.06220162136044,4.26595972908999,"2021-06-01","Cumulative",0,0.982379309501827,10.123946461876,"muncity","Santa teresita",1,4.05479e-05,0.75,21525000
156,21674,"19;49;80;110;141;172;200;231;261;292;322","2020-08-13","2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.868670233585482;0.651562161784208;0.878136580519318;0.943509164763164;0.949236925454672;0.949929861117191;0;0;0;0;0",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",0,0.731747689538719,23.4728216468369,"muncity","Santo nino (faire)",1,4.05479e-05,0.75,21526000
228,65696,"17;48;79;109;140;170;201;232;260;291;321;352;382","2020-06-14","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.801698876817036;0.542008864423959;0.840896613082283;0.940504586255512;0.949999623673258;0;0;0;0.415607484325029;0.529295457467572;0.337167826693406;0.732197171057989;0.732197171057989",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",52,0.991060034305497,35.5818319542139,"muncity","Solana",1,4.05479e-05,0.75,21527000
229,48999,"6;36;67;97;128;159;189;220;250;281;312;340;371;401;432;462","2020-03-26","2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.855584075674167;0.95;0.818825762481966;0.482875197689466;0.485490211194059;0.724266826241437;0.618999216951343;0.796832512482995;0.102729369718498;0.932084397692403;0.431772327047796;0;0.315742349977742;0.662409436790032;0.436552602836002;0.436552602836002",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",52,0.998542434805729,4.24470730917069,"muncity","Tuao",1,4.05479e-05,0.75,21528000
157,122230,"11;41;72;102;133;164;194;225;255;286;317;345;376;406;437;467","2020-03-21","2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.949669726689844;0.95;0.768375539243102;0.460986023463228;0.271526808391655;0.50322378187025;0.654042004800801;0.71152152011461;0.202511793447111;0.578300149299823;0.514503141539575;0.596904867955214;0.123232614363017;0.511332789439878;0.643909797384546;0.643909797384546",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",0,0.999528469290817,50.558334514537,"muncity","Tuguegarao city ",1,4.05479e-05,0.75,21529000
337,56728,"4;34;65;95;126;157;187;218;248;279;310;338;369;399;430;460","2020-03-28","2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.926160138455628;0.95;0.585081214100877;0.490081357069209;0.668938945312549;0.819426716369219;0.89887846131054;0.917443220122614;0;0;0.330714972574496;0.671505761437433;0.00207200960523555;0.643341698231025;0.662748911566548;0.662748911566548",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1.08533489413606,1,"2021-06-01","Cumulative",0,0.999152291615044,10.0567094414079,"muncity","Alicia",2,4.05479e-05,0.75,23101000
230,34164,"18;49;79;110;140;171;202;230;261;291;322;352","2020-07-14","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.80096151934102;0.526050000513777;0.864020746312027;0.676870039134506;4.05781699266735e-05;0.545269491183414;0.713016101277993;0.344257351449514;0.109101008686981;0.549667450199296;0.735855571506781;0.735855571506781",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",0,0.99835952799843,10.1038346371948,"muncity","Angadanan",1,4.05479e-05,0.75,23102000
338,27781,"9;40;71;101;132;162;193;224;252;283;313;344;374","2020-06-22","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.557074456966528;0.95;0.29473659415537;0.7359769357982;0.544150704948892;0.329160847802943;0.798805286311255;0.737043621157985;0.164943122192361;0;0.453193831289454;0.904746460138574;0.904746460138574",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",0,0.997944782564332,12.4254273112815,"muncity","Aurora",1,4.05479e-05,0.75,23103000
339,23502,"10;41;71;102;132;163;194;222;253;283;314;344","2020-07-22","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.949989206529873;0.95;0.779520261563375;0.483068843360029;0;0.366515060788336;0.650203761277164;0.583873358099226;0.23818405233494;0.527406337225783;0.307527144333051;0.307527144333051",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1.10479935154275,1,"2021-06-01","Cumulative",0,0.99571734970106,2.72629639270575,"muncity","Benito soliven",1,4.05479e-05,0.75,23104000
158,18868,"27;57;88;118;149;180;208;239;269;300;330","2020-08-05","2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.706619338970867;0.754515215434008;0.923379556924108;0.943775923280518;0.948214864561559;0.945226805471281;0.109973107029346;0.524264719168497;0.505603905595913;0.581318576475687;0.581318576475687",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",6.17917964846602,1,1,"2021-06-01","Cumulative",52,0.985073516203443,146.516901276202,"muncity","Burgos",1,4.05479e-05,0.75,23105000
159,39807,"30;61;91;122;153;183;214;244;275;306;334;365;395;426;456","2020-04-01","2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.95;0.95;0.486335257684831;0.355803984934204;0.532342803922963;0.802160499614504;0.936031054323757;0;0.397038405565824;0.401190204090001;0.204500537635333;0.536140760750908;0.281006688190514;0.95;0.95",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",0,0.995978414339759,26.5580972114536,"muncity","Cabagan",1,4.05479e-05,0.75,23106000
340,31270,"16;47;78;108;139;169;200;231;259;290;320;351;381","2020-06-15","2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.95;0.864746498050506;0.468461060315044;0.523913059113153;0.509308813810437;0.352792715866086;0.696951056505697;0.834822827178842;0.19510600637747;0;0.448245784085644;0.931771574445941;0.931771574445941",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",52,0.997872983897164,10.3174760785644,"muncity","Cabatuan",1,4.05479e-05,0.75,23107000
341,102761,"18;49;79;110;141;171;202;232;263;294;322;353;383;414;444","2020-04-13","2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.949162740864412;0.940461897873624;0.464124763345889;0.580660902231659;0.468379676353604;0.453822889453525;0.739430733742619;0.0867225070482544;0.649459697216563;0.628075521383177;0.648315052121818;0;0.527565525390803;0.810698411370538;0.810698411370538",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",0,0.998766265004521,26.2060441751343,"muncity","City of cauayan",1,4.05479e-05,0.75,23108000
342,34057,"25;56;86;117;147;178;209;237;268;298;329;359","2020-07-07","2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.949745184556056;0.95;0.506346960435788;0.523750339344118;5.27545145184516e-05;0.383029339541606;0.783826329090014;0.0863564417940323;0.0981749553356007;0.771129318053201;0.638027234319782;0.638027234319782",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",0,0.997828369503139,12.3484903222962,"muncity","Cordon",1,4.05479e-05,0.75,23109000
231,3972,"15;46;74;105;135;166;196","2020-12-17","2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-31;2021-06-30","0.95;0.95;0.0217618095364064;0;0;0.410985799185083;0.410985799185083",5,0.325757451,0.18,0.33,0.071428571,0.0965191861894463,0.0647590078672149,0.00184910818881923,"0.0647590078672149;0.0754235927085843;0.0820816585572244;0.0910930247461755;0.068046451269424;0.0889115926505726;0.117101053403645;0.128124242913672;0.141658738428548;0.147530182353739;0.121749568772068;0.164495392852696;0.132534533507043;0.145731937662525;0.155;0.155",1,1,1,"2021-06-01","Cumulative",0,0.964361613166637,15.9854950976855,"muncity","Dinapigue",1,4.05479e-05,0.75,23110000
