pop,equar,first_date,equar_date,lambdaValues,tau,beta,c,omega,theta,r,deltaA,epsT,deltaS,E0,IA0,IS0,startProjection_date,FittedTo,Convergence,fitness,distance,Geographical.Level,Geographical.Place,C0,mu,popMultiplier,area
32500,24;54;85;115;146;177;207;238;268;299;330;358;389,2020-03-08,2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.95;0.891780516536582;0;0.488666785554108;0.565533478588698;0.537603616837386;0.547153262968364;0;0.055386569135925;0.95;0.95;0.796761342530545;0.796761342530545,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.94906858,3.535778163,muncity,Mandaon,1,4.05E-05,0.75,54110000
75124,31;61;92;122;153;184;214;245;275;306;337;365;396,2020-03-01,2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.95;0.550239988200733;0.435737740405619;0.54562064735201;0.312799916973923;0.272658790952779;0.235979961517749;0.360086219626822;0.723066713161043;0.575741154022479;0.632906775185902;0.143620545800342;0.143620545800342,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1.57277556,1,2021-02-01,Active,52,0.944162104,8.719889688,muncity,City of masbate ,1,4.05E-05,0.75,54111000
45264,1;32;63;93;124;154;185;216;244;275,2020-06-30,2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.558527528243004;0.75611312887806;0.533812329218082;0.263797895814679;0.252425992295502;0.533758942650075;0.58007512549089;0.419584101326766;0.833869342283702;0.833869342283702,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,1,0.588468819,4.805049327,muncity,Milagros,1,4.05E-05,0.75,54112000
43967,1;32;63;93;124;154;185;216;244;275,2020-06-30,2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.0185659810942043;0.638223542003915;0.95;0;0.712452981285735;0;0.584649022430108;0.890731556426711;0.95;0.95,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,11.5197853,1,1,2021-02-01,Active,0,0.807873082,3.134495526,muncity,Placer,4,4.05E-05,0.75,54117000
44235,1;31;62;93;123;154;184;215;246;274;305,2020-05-31,2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.541484691088805;0.949999999996203;0.0695031844754932;0.780276221597013;0.0212451036408798;0.350563959374851;0.266386969775641;0.755860294987067;0.690799184262941;0.38412875921248;0.38412875921248,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.962823793,1.455817552,muncity,Uson,1,4.05E-05,0.75,54121000
80054,31;62;92;123;153;184;215;243;274,2020-07-01,2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.501217595372655;0.535289543106419;0.337494658713365;0.547831437460603;0.410353141996903;0.576843864291573;0.699222491237118;0.241315393640355;0.241315393640355,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.792468183,2.173840736,muncity,Bulan,1,4.05E-05,0.75,56203000
47618,4;35;66;96;127;157;188;219;247;278,2020-06-27,2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.949963123389815;0.760929057335588;0;0.433184521812398;0.897776494431972;0.513381774028861;0;0.52426849485168;0.774653811964585;0.774653811964585,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.920861522,1.63656681,muncity,Gubat,0,4.05E-05,0.75,56208000
45324,5;36;67;97;128;158;189;220;248;279,2020-06-26,2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.949989593239077;0.948943055586929;0.0250948875013435;0;0.719545632309369;0.272240939883109;0.46411994279257;0.76104242383891;0.522473283016062;0.522473283016062,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1.137902032,1,2021-02-01,Active,0,0.904929222,1.606473554,muncity,Irosin,1,4.05E-05,0.75,56209000
32877,16;47;77;108;138;169;200;228;259,2020-07-16,2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.944397750512236;0.666832046622971;1.87642029401072e-05;0.762047744710804;0.200614419630217;0.514497993950685;0.95;0.95;0.95,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,13.81658575,1,2021-02-01,Active,0,0.789966826,2.158101778,muncity,Matnog,1,4.05E-05,0.75,56212000
59645,28;59;89;120;150;181;212;240;271,2020-07-04,2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.362669946838866;0.438554975686752;0.95;0.435616037614872;0;0.684392537505055;0.473525177013873;0.404640857350102;0.404640857350102,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.862050609,2.737596796,muncity,Pilar,1,4.05E-05,0.75,56213000
134475,14;45;76;106;137;167;198;229;257;288,2020-06-17,2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.778903768613779;0;0.770310997245042;0;0.416225034460965;0.886535522440867;0.0459109008086299;0.627087176853428;0.692874978911085;0.692874978911085,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.980249902,5.750689618,muncity,City of sorsogon ,1,4.05E-05,0.75,56216000
31214,7;38;68;99;129;160;191;219;250,2020-07-25,2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.900654281998272;0.912175952434688;0.00435219540620813;0.269120109165182;0.327066055903674;0.366320532273048;0.720768953200474;0.213974451684312;0.213974451684312,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,4.274943724,1,2021-02-01,Active,0,0.977431225,2.492235549,muncity,Banga,1,4.05E-05,0.75,60403000
63689,12;42;73;103;134;165;195;226;256;287;318;346;377,2020-03-20,2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.95;0.940416547465335;0.924098372933728;0.0625248775656368;0.105352144295548;0.264302109289624;0.12828818867714;0.00305791114775137;0.425964261824982;0.643399906943856;0.631571342205136;0.242756550267944;0.242756550267944,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,52,0.9689726,12.56429285,muncity,Kalibo ,0,4.05E-05,0.75,60407000
