,pop,equar,first_date,equar_date,lambdaValues,tau,beta,c,c1,c2,omega,thetaA,thetaS,r,deltaA,deltaA1,deltaA2,epsT,epsI,epsIH,E1,E2,E3,E4,E5,k1,k2,mu,deltaS,tv1,tv2,J,S0,E0,IA0,IS0,V10,Ev10,IAv10,ISv10,V20,Ev20,IAv20,ISv20,Q0,C0,R0,startProjection_date,FittedTo,Convergence,fitness,distance,Geographical.Level,Geographical.Place,popMultiplier,area
1,12042981,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.307896142163036;0;0,5,0.434343268,0.18,0.242027312,0.427999056,0.33,0.071428571,0.071428571,0.09101277,0.0425,0.017,0.017,0.001888834,0.001888834,0.001467836,1,1,1,1,1,0.840705526,0.442698402,4.05E-05,0.17;0.26,22475;39880;39880,19151;15608;21774,7468;6166;0,14867833,3192,192,3831,669598,157,14,170,269364,37,6,30,6867,243390,236017,2021-08-01,Cumulative,52,0.999285104,1561.839782,region,4A-Calabarzon,0.75,40000000
1,4600395,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.37520543536381;0.0670611255115857;0.0670611255115857,5,0.325757451,0.18,0.239384899,0.43057493,0.33,0.071428571,0.071428571,0.09101277,0.0425,0.017,0.017,0.001888834,0.001888834,0.001505441,1,1,1,1,1,0.859248927,0.48099778,4.05E-05,0.17;0.143,2503;5101;5101,1714;2894;5101,2073;5566;0,5947389,808,53,1046,88857,13,1,15,74824,7,1,6,1780,20896,19061,2021-08-01,Cumulative,0,0.999414051,81.40002999,region,5-Bicol,0.75,50000000
1,5947862,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.199101104552575;0.197153795325266;0.197153795325266,5,0.325757451,0.18,0.241470436,0.43085915,0.33,0.071428571,0.071428571,0.09101277,0.0475,0.019,0.019,0.001888834,0.001888834,0.001473881,1,1,1,1,1,0.843548509,0.475720081,4.05479E-05,0.19;0.15,5842;12504;12504,5895;6098;9725,6649;3628;0,7473480,3229,202,3830,261644,119,12,124,117480,34,5,27,5796,70369,64501,2021-08-01,Cumulative,0,0.999801033,257.454024,region,6-Western Visayas,0.75,60000000
1,5967791,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.265605550111456;0;0,5,0.434343268,0.18,0.240497727,0.425540926,0.33,0.071428571,0.071428571,0.09101277,0.0475,0.019,0.019,0.001888834,0.001888834,0.00147253,1,1,1,1,1,0.84169562,0.434334116,4.05E-05,0.19;0.405,6330;20302;20302,6359;10551;17759,1652;7207;0,7433026,1829,108,2037,308842,74,7,72,134898,20,3,15,3176,76497,72948,2021-08-01,Cumulative,0,0.999656032,435.4447854,region,7-Central visayas,0.75,70000000
2,3556755,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.425923733253568;0.365662108239017;0.365662108239017,5,0.325757451,0.18,0.24361674,0.432050201,0.33,0.071428571,0.071428571,0.09101277,0.0325,0.013,0.013,0.001888834,0.001888834,0.001466167,1,1,1,1,1,0.841514511,0.482618238,4.05E-05,0.13;0.09,2431;4099;4099,3025;2610;4099,1286;3531;0,4488834,1466,95,1793,130023,45,4,49,88142,19,3,16,3882,31058,27969,2021-08-01,Cumulative,0,0.999579673,112.3178188,region,8-Eastern Visayas,0.75,80000000
1,2837064,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.431086800793113;0.121477894434755;0.121477894434755,5,0.325757451,0.18,0.240211458,0.429913289,0.33,0.071428571,0.071428571,0.09101277,0.035,0.014,0.014,0.001888834,0.001888834,0.001507086,1,1,1,1,1,0.861123085,0.466604645,4.05E-05,0.14;0.1,2396;3446;3446,3086;2213;4012,2306;1799;0,3571186,624,41,879,121244,21,2,26,64010,7,1,7,1395,25063,23308,2021-08-01,Cumulative,0,0.999526985,65.21220357,region,9-Zamboanga peninsula,0.75,90000000
1,3762796,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.027172769381326;0;0,5,0.325757451,0.18,0.238863011,0.431184698,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001513079,1,1,1,1,1,0.863016177,0.471756315,4.05E-05,0.16;0.23,3223;9002;9002,4995;3661;4618,4063;957;0,4722820,875,51,1125,180107,35,3,40,80198,10,1,8,1816,32246,29972,2021-08-01,Cumulative,0,0.99969769,364.5350403,region,10-Northern mindanao,0.75,100000000
1,3968152,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.321074502988806;0.15937950844077;0.15937950844077,5,0.325757451,0.18,0.246903875,0.42510687,0.33,0.071428571,0.071428571,0.09101277,0.0425,0.017,0.017,0.001888834,0.001888834,0.001404397,1,1,1,1,1,0.809579583,0.42999161,4.05E-05,0.17;0.11,5898;9962;9962,5590;8151;12281,508;4129;0,4856599,2643,167,3117,302263,160,16,162,82522,26,4,21,4379,43535,38791,2021-08-01,Cumulative,52,0.999678057,234.1509556,region,11-Davao,0.75,110000000
2,3689950,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.233064435764514;0;0,5,0.325757451,0.18,0.23904506,0.430416458,0.33,0.071428571,0.071428571,0.09101277,0.0475,0.019,0.019,0.001888834,0.001888834,0.001500596,1,1,1,1,1,0.856100566,0.479883823,4.05E-05,0.19;0.196,1689;5310;5310,2422;1587;5239,1848;3652;0,4736997,1205,77,1520,90214,25,2,28,67785,11,2,9,2157,22548,19900,2021-08-01,Cumulative,52,0.999702031,137.2567058,region,12-Soccsksargen,0.75,120000000
1,10353498,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.275827316021601;0;0,5,0.43434327,0.18,0.2486609,0.43012825,0.33,0.07142857,0.07142857,0.09101277,0.0325,0.013,0.013,0.00188883,0.00188883,0.00138829,1,1,1,1,1,0.80216592,0.43849797,4.05E-05,0.13;0.2,38903;101427;30489,70645;30199;42737,5715;3229;0,9775392,2847,166,3620,2369751,839,71,963,1122322,233,34,200,7255,528130,520973,2021-08-01,Cumulative,52,0.99952253,1692.38842,region,NCR-National capital region,0.75,130000000
2,1355806,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.124874136037951;0;0,5,0.325757451,0.18,0.243489171,0.428461713,0.33,0.071428571,0.071428571,0.09101277,0.0475,0.019,0.019,0.001888834,0.001888834,0.001468549,1,1,1,1,1,0.842739365,0.459438079,4.05E-05,0.19;0.133,1414;2671;2671,2102;1416;2721,2424;1305;0,1615284,631,38,732,96743,38,4,39,54315,14,2,11,1231,39684,38658,2021-08-01,Cumulative,0,0.99967227,95.49519337,region,CAR-CAR,0.75,140000000
1,3137492,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.369984307705496;0;0,5,0.325757451,0.18,0.238143916,0.428973402,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001528089,1,1,1,1,1,0.870754611,0.478271232,4.05E-05,0.16;0.143,916;1270;1270,686;748;1270,651;3762;0,4110986,151,60,300,38377,2,0,2,23388,1,0,1,423,10268,9761,2021-08-01,Cumulative,0,0.999353881,33.26764613,region,BARMM-BARMM,0.75,150000000
1,2064836,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.40384648475425;0;0,5,0.325757451,0.18,0.240395464,0.431269211,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.00149546,1,1,1,1,1,0.854687629,0.482351501,4.05E-05,0.16;0.115,1255;3207;3207,2369;1675;3753,2771;2077;0,2561919,775,51,1076,104179,34,3,43,62814,12,2,12,1769,22495,20426,2021-08-01,Cumulative,0,0.999486006,79.91481937,region,CARAGA-Caraga,0.75,160000000
1,2381136,31;62;92,2021-07-01,2021-07-31;2021-08-31;2021-09-30,0.183458130218826;0.0523727046442342;0.0523727046442342,5,0.325757451,0.18,0.243137589,0.431110853,0.33,0.071428571,0.071428571,0.09101277,0.0575,0.023,0.023,0.001888834,0.001888834,0.001476418,1,1,1,1,1,0.846861689,0.482054771,4.05E-05,0.23;0.16,1420;3027;3027,1818;1560;3027,422;3590;0,3021721,580,37,725,86061,18,2,20,51021,6,1,5,1021,14519,13631,2021-08-01,Cumulative,0,0.99970462,60.33559608,region,4B-Mimaropa,0.75,170000000
